source	time	person	location	organization	miscellaneous
	2020-02-02 00:00:00		wuhan|		tristeza   
	2020-02-02 00:00:00	second that s what i told you|			alegria 
	2020-02-02 00:00:00	minsa peru|	china|		tristeza
	2020-02-02 00:00:00		china|filipinas|ee uu|		alegria  
	2020-02-02 00:00:00		estados unidos|		miedo   
	2020-02-02 00:00:00		china|	escuche|	tristeza 
	2020-02-02 00:00:00	minsa peru|	wuhan pic twitter com xsepqtyrfv|		miedo
	2020-02-02 00:00:00		china|		miedo 
	2020-02-02 00:00:00	jabon minimo|		informacion|	ira 
	2020-02-02 00:00:00		venezuela|bolivia|		alegria   
	2020-02-02 00:00:00		venezuela|chile|	nasa|	alegría
	2020-02-02 00:00:00		ee uu|china|		tristeza  
	2020-02-02 00:00:00	elcomercio peru|	china|		miedo  
	2020-02-02 00:00:00		china|		miedo   
	2020-02-02 00:00:00	cusco peru|			ira  
	2020-02-02 00:00:00		vizcarra|		tristeza   
	2020-02-02 00:00:00		china|		miedo
	2020-02-02 00:00:00	hola vengo del futuro|			miedo 
	2020-02-02 00:00:00	minsa peru|	wuhan|		miedo  
	2020-02-02 00:00:00		china|venezuela|		ira   
	2020-02-02 00:00:00		china|		tristeza
	2020-02-02 00:00:00		china|		alegria 
	2020-02-02 00:00:00	elcomercio peru|	wuhan|		tristeza 
	2020-02-02 00:00:00		china|		tristeza  
	2020-02-02 00:00:00		china|		ira
	2020-02-02 00:00:00	elcomercio peru|			miedo   
	2020-02-02 00:00:00	streamer twitch youtuber|	chile|brasil|bolivia uruguay|paraguay|		miedo
	2020-02-02 00:00:00		wuhan|		miedo 
	2020-02-02 00:00:00	diciendonq contagia|			tristeza   
	2020-02-02 00:00:00	elcomercio peru|			alegria  
	2020-02-02 00:00:00		universidad de china|		miedo  
	2020-02-02 00:00:00		peru pic twitter com fg0arc4e0g|		tristeza
	2020-02-02 00:00:00	hinostroza minsa|	china|		tristeza 
	2020-02-02 00:00:00	wuhan|	francia|		miedo   
	2020-02-02 00:00:00		china|		tristeza  
	2020-02-02 00:00:00		peru pic|		tristeza   
	2020-02-02 00:00:00	donald|	china|		tristeza
	2020-02-02 00:00:00		china|		tristeza 
	2020-02-02 00:00:00		china|		tristeza  
	2020-02-02 00:00:00	peru|			tristeza   
	2020-02-02 00:00:00		chile|italia|		alegria   
	2020-02-02 00:00:00	sorry world coronavirususa coronavirusaustralia|coronavirusargentina coronavirusenfrance coronavirusperu|half|			ira 
	2020-02-02 00:00:00	coronavirusperu|	china|ilo|bolivia|twitter com|	navio|	tristeza
	2020-02-02 00:00:00	peru pic twitter com blinyydsyy|			miedo
	2020-02-03 00:00:00		oigan|		ira  
	2020-02-03 00:00:00		china|		miedo 
	2020-02-03 00:00:00		china|		miedo  
	2020-02-03 00:00:00	donald|	china|		tristeza 
	2020-02-03 00:00:00		colombia|argentina|china|estados unidos|		miedo   
	2020-02-03 00:00:00		hong kong|china|		ira   
	2020-02-03 00:00:00		santiago chile|china|		alegría
	2020-02-03 00:00:00	zelle|ofrecio|maduro envio|	venezuela|china|		miedo
	2020-02-03 00:00:00		vamoslatinosprotegete|colombia bolivia|honduras|guatemala|	argentina chile|	alegria 
	2020-02-03 00:00:00		wuhan|		tristeza  
	2020-02-03 00:00:00		china|		ira
	2020-02-03 00:00:00		china|		miedo 
	2020-02-03 00:00:00			alertanacional|	miedo  
	2020-02-03 00:00:00	coronavirus|	china|		tristeza   
	2020-02-03 00:00:00		china|		ira 
	2020-02-03 00:00:00		china|	apple|	tristeza
	2020-02-03 00:00:00			public health cautious optimism for vizcarra|	alegria  
	2020-02-03 00:00:00	compren lisol|			miedo   
	2020-02-03 00:00:00		ahi|		miedo
	2020-02-03 00:00:00		hospital|		miedo 
	2020-02-03 00:00:00	peru pic twitter com fcljnugadp|	puertos del pais|		miedo  
	2020-02-03 00:00:00		china|		ira  
	2020-02-03 00:00:00	peru|			ira   
	2020-02-03 00:00:00		china|estados unidos|		ira
	2020-02-03 00:00:00	peru|twitter com yftcrdyaxz|			miedo   
	2020-02-03 00:00:00	baltic dry index|	colombia|		miedo
	2020-02-03 00:00:00	peru trujillo nonunadimeno|			miedo 
	2020-02-03 00:00:00		lima|	lima piscosour|	tristeza 
	2020-02-03 00:00:00		china|		miedo  
	2020-02-03 00:00:00		rusia|china|		tristeza  
	2020-02-03 00:00:00		china|		tristeza   
	2020-02-03 00:00:00		wuhan|		tristeza
	2020-02-03 00:00:00		twitter com|		alegria   
