source	time	person	location	organization	miscellaneous
	2020-04-01 00:00:00	jose martinez trejo|			miedo
	2020-04-01 00:00:00	tvcosmosperu peru|			tristeza  
	2020-04-01 00:00:00	tvcosmosperu peru|			tristeza   
	2020-04-01 00:00:00			bbc news|	ira 
	2020-04-01 00:00:00	concytec peru|			tristeza
	2020-04-01 00:00:00	martin vizcarra pancho libertad|			alegría
	2020-04-01 00:00:00	peru|	america|		ira  
	2020-04-01 00:00:00		brasil|chile|		alegria 
	2020-04-01 00:00:00	peru|	america|		ira   
	2020-04-01 00:00:00	reporte|	lima|		tristeza 
	2020-04-01 00:00:00		g23m0xqahk|		tristeza  
	2020-04-01 00:00:00	ivan duque|victor zamora|donald|	colombia|		tristeza   
	2020-04-01 00:00:00	americatv peru hola|			ira
	2020-04-01 00:00:00		covid|		miedo 
	2020-04-01 00:00:00		peru goreucayali diresaucayali martinvizcarrac|	saludaguaytia incia construccion|	tristeza
	2020-04-01 00:00:00	perdon|			ira 
	2020-04-01 00:00:00	essalud de ica olin ip|			miedo  
	2020-04-01 00:00:00	asiaticos wradiocolombia|	cali|		miedo   
	2020-04-01 00:00:00		lima|		miedo
	2020-04-01 00:00:00			onu|	tristeza 
	2020-04-01 00:00:00	vaismanjacobo saben|jose domingo perez|			miedo 
	2020-04-01 00:00:00		sudamerica|brasil|chile|casa aguantesudamerica|		miedo  
	2020-04-01 00:00:00	roberto erpel|luis cuellar|	aeropuerto de chacalluta|tacna|		miedo   
	2020-04-01 00:00:00	herbert holguin|	ecuador|		tristeza  
	2020-04-01 00:00:00		peru via|		miedo
	2020-04-01 00:00:00	nano|	chile|bolivia|brasil|uruguay|		tristeza   
	2020-04-01 00:00:00		china|		miedo 
	2020-04-01 00:00:00	mef peru|jose domingo perez|			tristeza
	2020-04-01 00:00:00	herbert holguin|	ecuador|		ira  
	2020-04-01 00:00:00	descartes|descartes|			tristeza 
	2020-04-01 00:00:00		peru universitario|lima|		ira   
	2020-04-01 00:00:00			edf|	tristeza  
	2020-04-01 00:00:00			bbc news|	ira
	2020-04-01 00:00:00			instituto tecnologico de massachuset|	miedo  
	2020-04-01 00:00:00		metro|		tristeza   
	2020-04-01 00:00:00		londres|		miedo   
	2020-04-01 00:00:00	donald|		cgt peru|	ira 
	2020-04-01 00:00:00		abbott|china|	cia|fabrication|	ira  
	2020-04-01 00:00:00	peru|	america|		ira   
	2020-04-01 00:00:00	james corden cuarentenanacional|			ira
	2020-04-01 00:00:00	constantino iii roberto lopez|	chile peru colombia|		miedo
	2020-04-01 00:00:00	peru|	america|	bbc news|	alegria  
	2020-04-01 00:00:00		abbott|china|	cia|fabrication|	ira 
	2020-04-01 00:00:00			bbc news|	ira  
	2020-04-01 00:00:00		costa|		miedo 
	2020-04-01 00:00:00		baruta|eeuu|		tristeza
	2020-04-01 00:00:00	mexico pic twitter com|	america|		miedo  
	2020-04-01 00:00:00			feb|	tristeza 
	2020-04-01 00:00:00			bbc news|	ira   
	2020-04-01 00:00:00		moscow pic twitter com|	thank you|	miedo   
	2020-04-01 00:00:00	fujimori|			alegria   
	2020-04-01 00:00:00	peru|	america|		ira
	2020-04-01 00:00:00	cuarentena dia17 hashemghaili|			miedo
	2020-04-01 00:00:00		china|	cia|	ira 
	2020-04-01 00:00:00	peru|essaludperu|			miedo 
	2020-04-01 00:00:00		china|	cia|	ira  
	2020-04-01 00:00:00			onu|	tristeza  
	2020-04-01 00:00:00	americansstuckinperu coronavirusperu peru americanshomepic twitter com ropjqp2rqa|			alegría
	2020-04-01 00:00:00		china|	cia|	ira   
	2020-04-01 00:00:00			bbc news|	ira
	2020-04-01 00:00:00	recibio|nelson shack|		investigacion|martinvizcarrac|cgt peru|	alegria 
	2020-04-01 00:00:00		peru anemia|		ira 
	2020-04-01 00:00:00		cuanta|		tristeza   
	2020-04-01 00:00:00	adifan peru alafarpe|			tristeza
	2020-04-01 00:00:00		ecuador|chile colombia|venezuela|estados unidos|imponia|la tierra|		miedo  
	2020-04-01 00:00:00		peru situacion|		miedo   
	2020-04-01 00:00:00	peru|	america|		ira  
	2020-04-01 00:00:00	humboldt|			alegria  
	2020-04-01 00:00:00		china|asia|		miedo
	2020-04-01 00:00:00		chile|colombia|espana|		tristeza 
	2020-04-01 00:00:00			omt|	ira   
	2020-04-01 00:00:00			nasa|	tristeza  
	2020-04-01 00:00:00		china|china|	proteccion|agencia andina|	miedo 
	2020-04-01 00:00:00	mincetur|			ira
	2020-04-01 00:00:00		eeuu|		miedo  
	2020-04-01 00:00:00		colombia|		miedo   
	2020-04-01 00:00:00			bbc news|	ira 
	2020-04-01 00:00:00		ecuador|		ira  
	2020-04-01 00:00:00		ecuador|		ira   
	2020-04-01 00:00:00		china|		miedo
	2020-04-01 00:00:00		quito|ecuador|		alegria   
	2020-04-01 00:00:00	peru|	america|		ira
	2020-04-01 00:00:00		china|		tristeza   
	2020-04-01 00:00:00	sigueme siguemeytesigo real|	venezuela|brasil|		alegría
	2020-04-01 00:00:00	gladys pereyra|			ira 
	2020-04-01 00:00:00	gladys pereyra|			ira  
	2020-04-01 00:00:00		costa|peru und wer|		alegria 
